,cand_name,cid,cycle,last_updated,industry_code0,industry_name0,indivs0,pacs0,total0,industry_code1,industry_name1,indivs1,pacs1,total1,industry_code2,industry_name2,indivs2,pacs2,total2,industry_code3,industry_name3,indivs3,pacs3,total3,industry_code4,industry_name4,indivs4,pacs4,total4,industry_code5,industry_name5,indivs5,pacs5,total5,industry_code6,industry_name6,indivs6,pacs6,total6,industry_code7,industry_name7,indivs7,pacs7,total7,industry_code8,industry_name8,indivs8,pacs8,total8,industry_code9,industry_name9,indivs9,pacs9,total9
0,Ralph Abraham,N00036633,2020,03/22/2021,E01,Oil & Gas,0,5000,5000,E08,Electric Utilities,0,5000,5000,H01,Health Professionals,0,5000,5000,A07,Agricultural Services/Products,0,3500,3500,D01,Defense Aerospace,0,2500,2500,H03,Health Services/HMOs,0,2500,2500,K01,Lawyers/Law Firms,0,2500,2500,D03,Misc Defense,0,2000,2000,N01,Food & Beverage,0,2000,2000,K02,Lobbyists,1250,0,1250
1,Alma Adams,N00035451,2020,03/22/2021,F03,Commercial Banks,7178,58000,65178,F09,Insurance,251,57000,57251,P04,Public Sector Unions,750,51000,51750,F10,Real Estate,17700,23500,41200,F07,Securities & Investment,12,37000,37012,P02,Industrial Unions,0,35500,35500,H01,Health Professionals,19097,15500,34597,F06,Finance/Credit Companies,0,27500,27500,K01,Lawyers/Law Firms,10330,15000,25330,A01,Crop Production & Basic Processing,0,25000,25000
2,Robert B Aderholt,N00003028,2020,03/22/2021,D03,Misc Defense,69059,48000,117059,C05,Building Materials & Equipment,44145,20000,64145,K01,Lawyers/Law Firms,16789,40500,57289,D01,Defense Aerospace,11410,37500,48910,F09,Insurance,4170,38000,42170,A01,Crop Production & Basic Processing,2570,39000,41570,F03,Commercial Banks,6964,34500,41464,D02,Defense Electronics,7050,31300,38350,W06,Retired,35835,0,35835,E08,Electric Utilities,4309,30000,34309
3,Pete Aguilar,N00033997,2020,03/22/2021,W06,Retired,237878,0,237878,F10,Real Estate,72478,45000,117478,K01,Lawyers/Law Firms,82973,10825,93798,H01,Health Professionals,64641,19000,83641,W04,Education,82300,1000,83300,F09,Insurance,9335,66500,75835,D03,Misc Defense,527,67500,68027,P04,Public Sector Unions,125,52500,52625,P01,Building Trade Unions,51,52000,52051,Q02,Democratic/Liberal,38105,13800,51905
4,Lamar Alexander,N00009888,2020,03/22/2021,H04,Pharmaceuticals/Health Products,0,103200,103200,F09,Insurance,19500,32000,51500,H01,Health Professionals,0,50000,50000,F07,Securities & Investment,11900,16500,28400,K01,Lawyers/Law Firms,0,22200,22200,N15,Misc Manufacturing & Distributing,0,18000,18000,B12,Electronics Mfg & Equip,5400,9000,14400,W04,Education,2000,12000,14000,N03,Retail Sales,2700,11000,13700,F10,Real Estate,11000,0,11000
5,Richard W Allen,N00033720,2020,03/22/2021,W06,Retired,136542,0,136542,H01,Health Professionals,66490,4000,70490,A01,Crop Production & Basic Processing,21350,43000,64350,F10,Real Estate,52710,9500,62210,C01,General Contractors,40325,7500,47825,F09,Insurance,12015,27000,39015,Q03,Leadership PACs,0,36000,36000,C05,Building Materials & Equipment,34700,0,34700,F03,Commercial Banks,11000,19500,30500,M02,Automotive,14050,15000,29050
6,Colin Allred,N00040989,2020,03/22/2021,W06,Retired,663537,0,663537,K01,Lawyers/Law Firms,563315,22250,585565,Q02,Democratic/Liberal,263805,44387,308192,F10,Real Estate,267962,25000,292962,Q03,Leadership PACs,37097,236100,273197,F07,Securities & Investment,253394,0,253394,W04,Education,153130,0,153130,H01,Health Professionals,130872,20500,151372,Q16,Candidate Committees,3000,121003,124003,F13,Misc Finance,108435,0,108435
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Mark Amodei,N00031177,2020,03/22/2021,N07,Casinos/Gambling,41500,31000,72500,W06,Retired,63874,0,63874,Q01,Republican/Conservative,35908,11000,46908,F10,Real Estate,30316,15500,45816,K01,Lawyers/Law Firms,23694,13500,37194,Q13,Gun Rights,26300,5000,31300,K02,Lobbyists,31250,0,31250,M02,Automotive,19800,10000,29800,F07,Securities & Investment,27003,2000,29003,H01,Health Professionals,15668,12600,28268
9,Kelly Armstrong,N00042868,2020,03/22/2021,E01,Oil & Gas,37750,114000,151750,A01,Crop Production & Basic Processing,15450,32500,47950,M02,Automotive,36400,9000,45400,A07,Agricultural Services/Products,2000,42000,44000,K02,Lobbyists,40300,2000,42300,E04,Mining,12200,30000,42200,Q03,Leadership PACs,0,41500,41500,H01,Health Professionals,2500,37000,39500,B09,Telecom Services,2800,35000,37800,F03,Commercial Banks,22400,13000,35400
